-0.139232 0.111324 -0.183355 0.0653975
-0.881682 0.707135 -1.1675 2.64047
-2.90728 2.35403 -3.91149 29.2935
-5.02347 4.09529 -6.85519 89.0003
-6.56939 5.37501 -9.039 153.751
-7.83136 6.42978 -10.8372 220.116
-9.8347 8.11711 -13.7034 350.391
-13.9954 11.6305 -19.6103 715.702
-18.0406 15.0374 -25.1995 1186.6
-22.0434 18.4307 -30.5312 1757.75
-25.8467 21.7107 -35.4232 2394.21
-30.2115 25.4685 -40.8076 3226.64
-33.1482 27.9379 -44.3232 3843.88
-35.0749 29.5192 -46.6177 4274.84
-38.0313 31.8816 -50.1354 4976.37
-44.7329 36.9251 -58.3382 6767.84
-50.0691 40.7233 -65.285 8427.43
-54.3988 43.7448 -71.2167 9944.65
-58.4966 46.5185 -76.9236 11503.1
-62.2259 48.9669 -82.0241 12997.8
-65.5298 51.1069 -86.3835 14368.2
-68.6281 53.1098 -90.3322 15690.4
-86.9121 64.3334 -111.76 24182.9
-100.903 71.5992 -127.455 31552.7
-122.351 81.4419 -153.373 45125.8
-139.49 91.7113 -177.625 59419
-155.044 100.45 -201.222 74619.3
-171.418 106.9 -226.117 91940.6
-273.496 137.762 -506.017 349832
-325.122 82.8945 -803.023 757422
-418.906 -41.2224 -1066.93 1.31553e+06
-515.287 -197.183 -1306.77 2.01206e+06
-659.806 -336.179 -1538.47 2.91526e+06
-823.064 -451.143 -1768.14 4.00729e+06
-988.463 -606.417 -1965.08 5.20634e+06
-1136.28 -823.986 -2130.21 6.50787e+06
-1306.32 -1030.33 -2280.23 7.96747e+06
-3883.81 -1853.39 -3453.96 3.04489e+07
-5645.46 -2195.19 -5700.88 6.91901e+07
-3684.18 -2046.64 -7771.16 7.81528e+07
-1176.79 -1942.09 -9039.72 8.6873e+07
968.956 -2405.44 -10634.2 1.19812e+08
1400.77 -5104.78 -11044.2 1.49996e+08
529.789 -6671.24 -9024.66 1.26231e+08
-1975.26 -5409.28 -8156.18 9.96853e+07
-4073.36 -4343.72 -6506.08 7.77893e+07
0.06849 -0.00895508 0.246224 0.0653975
0.373468 -0.0483071 1.35118 1.9675
0.863702 -0.109098 3.15646 10.7211
1.19836 -0.148511 4.41023 20.9083
1.55526 -0.189072 5.76843 35.7294
1.79958 -0.216295 6.71145 48.3288
2.0015 -0.238507 7.49946 60.3047
2.29905 -0.270744 8.67519 80.6179
2.54358 -0.296924 9.65351 99.7483
2.7502 -0.318873 10.488 117.663
3.0916 -0.354681 11.8822 150.871
3.62641 -0.41032 14.1052 212.275
4.08036 -0.458291 16.0319 273.882
4.4833 -0.502071 17.7751 336.306
5.00084 -0.560242 20.0628 427.837
5.70101 -0.64506 23.2565 573.781
6.26237 -0.722535 25.8992 710.509
6.6926 -0.789565 27.965 827.454
7.11734 -0.861491 30.0274 953.045
13.164 -2.21244 57.1065 3439.34
22.1486 -4.14821 88.1838 8284.15
33.6681 -6.37269 120.418 15674.7
42.3796 -7.98434 144.01 22598.6
52.4265 -13.1287 173.292 32951.1
62.5902 -22.2003 207.702 47550.3
68.2067 -27.3786 227.017 56938.2
79.6542 -36.1856 260.19 75353
89.2184 -42.5955 285.097 91054.6
275.633 -122.005 513.533 354575
508.051 -124.691 707.231 773840
767.354 -124.841 863.409 1.34989e+06
1059.69 -145.675 957.368 2.06071e+06
1334.32 -135.12 1083.1 2.97177e+06
1617.55 -205.577 1163.32 4.01203e+06
1899.19 -267.161 1257.75 5.26021e+06
2182.68 -218.529 1349.12 6.63197e+06
2440.33 -67.0668 1425.42 7.99153e+06
3891.05 2381.25 1132.31 2.20928e+07
4128.45 5195.91 456.465 4.42499e+07
5155.99 7254.47 -999.924 8.02114e+07
7351.96 6994.6 -2871.39 1.11221e+08
9223.04 6105.75 -4674.87 1.44199e+08
11041.7 4128.66 -5592.72 1.70243e+08
11129.4 1907.11 -7465.68 1.83238e+08
12077.1 -702.556 -7980.53 2.10039e+08
11622.5 -3552.99 -7254.26 2.00331e+08
-0.0035621 0.186786 -0.0976271 0.0444326
-0.00892935 0.480998 -0.251555 0.294719
-0.0155732 0.871132 -0.455949 0.967002
-0.0249995 1.49281 -0.782283 2.84107
-0.0408724 2.87661 -1.51135 10.5607
-0.0499504 4.27293 -2.25057 23.3255
-0.0523465 5.18579 -2.73572 34.3794
-0.0525878 5.56638 -2.93842 39.6217
-0.0524823 5.86555 -3.09791 44.0045
-0.0521613 6.13985 -3.24425 48.2257
-0.0508309 6.71062 -3.54912 57.6313
-0.0462948 7.73522 -4.09762 76.6262
-0.0267688 9.91818 -5.27065 126.151
0.0211266 13.0262 -6.94954 217.979
0.110975 17.2735 -9.26218 384.175
0.193389 20.3373 -10.9406 533.34
0.216296 21.1111 -11.3658 574.905
0.299606 23.8567 -12.8768 735.044
0.37579 26.4032 -14.2809 901.216
1.0852 53.9021 -29.1596 3756.9
2.63327 79.1623 -42.8672 8111.2
